product_id,product_name,category,unit_cost
1,Product_1,Sports,39.14
2,Product_2,Toys,153.08
3,Product_3,Beauty,137.26
4,Product_4,Toys,54.75
5,Product_5,Toys,236.0
6,Product_6,Home,151.72
7,Product_7,Beauty,175.22
8,Product_8,Beauty,220.71
9,Product_9,Beauty,157.97
10,Product_10,Toys,77.43
11,Product_11,Sports,30.85
12,Product_12,Beauty,116.85
13,Product_13,Clothing,58.52
14,Product_14,Toys,107.04
15,Product_15,Home,221.4
16,Product_16,Sports,84.46
17,Product_17,Clothing,34.91
18,Product_18,Clothing,92.29
19,Product_19,Home,227.17
20,Product_20,Sports,71.67
21,Product_21,Toys,163.68
22,Product_22,Electronics,5.13
23,Product_23,Sports,91.38
24,Product_24,Home,79.67
25,Product_25,Clothing,45.34
26,Product_26,Toys,135.85
27,Product_27,Sports,123.78
28,Product_28,Electronics,174.65
29,Product_29,Electronics,71.01
30,Product_30,Beauty,64.81
31,Product_31,Beauty,46.23
32,Product_32,Home,58.6
33,Product_33,Sports,141.73
34,Product_34,Sports,103.94
35,Product_35,Clothing,20.9
36,Product_36,Clothing,67.21
37,Product_37,Clothing,65.48
38,Product_38,Beauty,175.59
39,Product_39,Sports,179.51
40,Product_40,Sports,41.28
41,Product_41,Electronics,249.45
42,Product_42,Beauty,70.36
43,Product_43,Toys,244.27
44,Product_44,Beauty,105.7
45,Product_45,Toys,13.1
46,Product_46,Electronics,89.54
47,Product_47,Home,160.42
48,Product_48,Sports,171.77
49,Product_49,Electronics,135.08
50,Product_50,Sports,114.71
51,Product_51,Clothing,140.46
52,Product_52,Home,150.21
53,Product_53,Home,24.81
54,Product_54,Electronics,95.57
55,Product_55,Home,64.33
56,Product_56,Toys,201.77
57,Product_57,Home,120.22
58,Product_58,Sports,245.94
59,Product_59,Sports,102.71
60,Product_60,Sports,205.03
61,Product_61,Sports,200.59
62,Product_62,Toys,41.93
63,Product_63,Beauty,129.51
64,Product_64,Clothing,175.47
65,Product_65,Electronics,215.3
66,Product_66,Sports,84.86
67,Product_67,Home,58.96
68,Product_68,Sports,179.23
69,Product_69,Home,203.33
70,Product_70,Clothing,90.42
71,Product_71,Clothing,28.56
72,Product_72,Clothing,235.43
73,Product_73,Home,102.41
74,Product_74,Sports,131.85
75,Product_75,Clothing,210.24
76,Product_76,Toys,170.54
77,Product_77,Home,185.13
78,Product_78,Home,56.22
79,Product_79,Sports,137.65
80,Product_80,Home,175.47
81,Product_81,Home,60.99
82,Product_82,Clothing,47.86
83,Product_83,Sports,245.63
84,Product_84,Clothing,131.58
85,Product_85,Clothing,68.9
86,Product_86,Sports,249.08
87,Product_87,Electronics,241.53
88,Product_88,Clothing,141.78
89,Product_89,Toys,221.25
90,Product_90,Toys,51.23
91,Product_91,Home,73.32
92,Product_92,Toys,176.59
93,Product_93,Home,212.43
94,Product_94,Electronics,214.8
95,Product_95,Sports,104.1
96,Product_96,Sports,222.5
97,Product_97,Sports,213.48
98,Product_98,Toys,234.23
99,Product_99,Electronics,197.41
100,Product_100,Toys,168.9
101,Product_101,Toys,147.27
102,Product_102,Electronics,96.21
103,Product_103,Electronics,235.33
104,Product_104,Electronics,243.55
105,Product_105,Electronics,74.56
106,Product_106,Sports,79.81
107,Product_107,Beauty,123.98
108,Product_108,Beauty,114.86
109,Product_109,Electronics,248.64
110,Product_110,Beauty,48.1
111,Product_111,Beauty,9.43
112,Product_112,Electronics,126.0
113,Product_113,Beauty,48.81
114,Product_114,Toys,94.78
115,Product_115,Home,187.32
116,Product_116,Home,181.63
117,Product_117,Electronics,80.47
118,Product_118,Sports,137.92
119,Product_119,Electronics,129.66
120,Product_120,Sports,160.9
121,Product_121,Home,66.36
122,Product_122,Electronics,149.52
123,Product_123,Clothing,244.83
124,Product_124,Toys,124.25
125,Product_125,Beauty,226.99
126,Product_126,Sports,111.43
127,Product_127,Clothing,90.77
128,Product_128,Beauty,163.05
129,Product_129,Beauty,168.89
130,Product_130,Electronics,216.72
131,Product_131,Beauty,61.4
132,Product_132,Toys,127.3
133,Product_133,Clothing,145.14
134,Product_134,Beauty,193.3
135,Product_135,Electronics,15.68
136,Product_136,Toys,248.66
137,Product_137,Home,120.14
138,Product_138,Clothing,73.49
139,Product_139,Beauty,221.46
140,Product_140,Electronics,188.19
141,Product_141,Home,238.5
142,Product_142,Home,86.03
143,Product_143,Sports,140.43
144,Product_144,Toys,145.21
145,Product_145,Beauty,245.18
146,Product_146,Electronics,23.46
147,Product_147,Sports,79.9
148,Product_148,Toys,51.77
149,Product_149,Sports,70.78
150,Product_150,Clothing,123.89
